,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Insumo, 00002692 ,SINAPI,"DESMOLDANTE PROTETOR PARA FORMAS DE MADEIRA, DE BASE OLEOSA EMULSIONADA EM AGUA",Material,,L,"0,0080000","7,96","0,06"
Insumo, 00039017 ,SINAPI,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",Material,,UN,"6,0000000","0,18","1,08"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 93200 ,SINAPI,FIXAÇÃO (ENCUNHAMENTO) DE ALVENARIA DE VEDAÇÃO COM ARGAMASSA APLICADA COM BISNAGA. AF_03/2024,"Vergas, contravergas e fixação de alvenaria",,M,"1,0000000","9,72","9,72"
Composição Auxiliar, 87294 ,SINAPI,"ARGAMASSA TRAÇO 1:2:9 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 600 L. AF_08/2019",Argamassas,,m³,"0,0040000","504,35","2,01"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2295314","29,21","6,70"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0433822","23,37","1,01"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.7 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, G0002 ,Próprio,"FIXAÇÃO (ENCUNHAMENTO) DE ALVENARIA DE VEDAÇÃO COM ARGAMASSA,  COM ADITIVO IMPERMEABILIZANTE, APLICADA COM BISNAGA",ASTU - ASSENTAMENTO DE TUBOS E PECAS,,M,"1,0000000","10,04","10,04"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2295314","29,21","6,70"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0433822","23,37","1,01"
Composição Auxiliar, 87294 ,SINAPI,"ARGAMASSA TRAÇO 1:2:9 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 600 L. AF_08/2019",Argamassas,,m³,"0,0040000","504,35","2,01"
Insumo, 00000123 ,SINAPI,"ADITIVO IMPERMEABILIZANTE DE PEGA NORMAL PARA ARGAMASSAS E CONCRETOS SEM ARMACAO, LIQUIDO E ISENTO DE CLORETOS",Material,,L,"0,0392000","8,29","0,32"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.8 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 96358 ,SINAPI,"PAREDE COM SISTEMA EM CHAPAS DE GESSO PARA DRYWALL, USO INTERNO, COM DUAS FACES SIMPLES E ESTRUTURA METÁLICA COM GUIAS SIMPLES, SEM VÃOS. AF_07/2023_PS",Paredes em Drywall,,m²,"1,0000000","82,60","82,60"
Composição Auxiliar, 88278 ,SINAPI,MONTADOR DE ESTRUTURA METÁLICA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4143147","25,38","10,51"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1357239","23,37","3,17"
Insumo, 00037586 ,SINAPI,"PINO DE ACO COM ARRUELA CONICA, DIAMETRO ARRUELA = *23* MM E COMP HASTE = *27* MM (ACAO INDIRETA)",Material,,CENTO,"0,0248000","42,10","1,04"
Insumo, 00039413 ,SINAPI,"PLACA / CHAPA DE GESSO ACARTONADO, STANDARD (ST), COR BRANCA, E = 12,5 MM, 1200 X 2400 MM (L X C)",Material,,m²,"2,1060000","17,82","37,52"
Insumo, 00039419 ,SINAPI,"PERFIL GUIA, FORMATO U, EM ACO ZINCADO, PARA ESTRUTURA PAREDE DRYWALL, E = 0,5 MM, 70 X 3000 MM (L X C)",Material,,M,"0,7624000","7,37","5,61"
Insumo, 00039422 ,SINAPI,"PERFIL MONTANTE, FORMATO C, EM ACO ZINCADO, PARA ESTRUTURA PAREDE DRYWALL, E = 0,5 MM, 70 X 3000 MM (L X C)",Material,,M,"2,0006000","8,36","16,72"
Insumo, 00039431 ,SINAPI,"FITA DE PAPEL MICROPERFURADO, 50 X 150 MM, PARA TRATAMENTO DE JUNTAS DE CHAPA DE GESSO PARA DRYWALL",Material,,M,"2,5027000","0,28","0,70"
Insumo, 00039432 ,SINAPI,FITA DE PAPEL REFORCADA COM LAMINA DE METAL PARA REFORCO DE CANTOS DE CHAPA DE GESSO PARA DRYWALL,Material,,M,"0,7407000","2,46","1,82"
Insumo, 00039434 ,SINAPI,"MASSA DE REJUNTE EM PO PARA DRYWALL, A BASE DE GESSO, SECAGEM RAPIDA, PARA TRATAMENTO DE JUNTAS DE CHAPA DE GESSO (NECESSITA ADICAO DE AGUA)",Material,,KG,"1,0978000","3,09","3,39"
Insumo, 00039435 ,SINAPI,"PARAFUSO DRY WALL, EM ACO FOSFATIZADO, CABECA TROMBETA E PONTA AGULHA (TA), COMPRIMENTO 25 MM",Material,,UN,"20,1868000","0,10","2,01"
Insumo, 00039443 ,SINAPI,"PARAFUSO DRY WALL, EM ACO ZINCADO, CABECA LENTILHA E PONTA BROCA (LB), LARGURA 4,2 MM, COMPRIMENTO 13 MM",Material,,UN,"0,4803000","0,24","0,11"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.9 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 96374 ,SINAPI,INSTALAÇÃO DE REFORÇO DE MADEIRA EM PAREDE DRYWALL. AF_07/2023,Paredes em Drywall,,M,"1,0000000","25,86","25,86"
Composição Auxiliar, 88278 ,SINAPI,MONTADOR DE ESTRUTURA METÁLICA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0638247","25,38","1,61"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0210154","23,37","0,49"
Insumo, 00003990 ,SINAPI,"TABUA APARELHADA *2,5 X 25* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO",Material,,M,"1,1000000","19,94","21,93"
Insumo, 00039443 ,SINAPI,"PARAFUSO DRY WALL, EM ACO ZINCADO, CABECA LENTILHA E PONTA BROCA (LB), LARGURA 4,2 MM, COMPRIMENTO 13 MM",Material,,UN,"7,6364000","0,24","1,83"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8 ,,,ESQUADRIAS,,,,,,
 8.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 99855 ,SINAPI,"CORRIMÃO SIMPLES, DIÂMETRO EXTERNO = 1 1/2"", EM AÇO GALVANIZADO. AF_04/2019_PS","Guarda-Corpo, Corrimão e Grade para Esquadrias",,M,"1,0000000","86,99","86,99"
Composição Auxiliar, 88251 ,SINAPI,AUXILIAR DE SERRALHEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6185237","24,55","15,18"
Composição Auxiliar, 88315 ,SINAPI,SERRALHEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7536767","29,01","21,86"
Insumo, 00007568 ,SINAPI,"BUCHA DE NYLON SEM ABA S10, COM PARAFUSO DE 6,10 X 65 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS",Material,,UN,"3,2730000","0,74","2,42"
Insumo, 00011002 ,SINAPI,"ELETRODO REVESTIDO AWS - E6013, DIAMETRO IGUAL A 2,50 MM",Material,,KG,"0,0040000","37,09","0,14"
Insumo, 00011033 ,SINAPI,SUPORTE PARA CALHA DE 150 MM EM ACO GALVANIZADO,Material,,UN,"1,0910000","3,94","4,29"
Insumo, 00021012 ,SINAPI,"TUBO ACO GALVANIZADO COM COSTURA, CLASSE LEVE, DN 40 MM (1 1/2""), E = 3,00 MM, *3,48* KG/M (NBR 5580)",Material,,M,"1,0290000","41,89","43,10"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94570 ,SINAPI,"JANELA DE ALUMÍNIO DE CORRER COM 2 FOLHAS PARA VIDROS (VIDROS INCLUSOS), BATENTE/ REQUADRO 6 A 14 CM, ACABAMENTO COM ACETATO OU BRILHANTE, FIXAÇÃO COM PARAFUSO, SEM GUARNIÇÃO/ ALIZAR, DIMENSÕES 100X120 CM, VEDAÇÃO COM SILICONE, EXCLUSIVE CONTRAMARCO - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",Esquadrias - Janelas,,m²,"1,0000000","301,99","301,99"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2332758","29,21","6,81"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1166379","23,37","2,72"
Insumo, 00004377 ,SINAPI,"PARAFUSO DE ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA SIMPLES, DIAMETRO 4,2 MM, COMPRIMENTO * 32 * MM",Material,,UN,"9,2000000","0,18","1,65"
Insumo, 00036896 ,SINAPI,"JANELA DE CORRER, EM ALUMINIO PERFIL 25, 100 X 120 CM (A X L), 2 FLS MOVEIS, SEM BANDEIRA, ACABAMENTO BRANCO OU BRILHANTE, BATENTE DE 6 A 7 CM, COM VIDRO 4 MM, SEM GUARNICAO",Material,,UN,"0,8333000","327,96","273,28"
Insumo, 00039961 ,SINAPI,SILICONE ACETICO USO GERAL INCOLOR 280 G,Material,,UN,"0,6678571","26,26","17,53"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94569 ,SINAPI,"JANELA DE ALUMÍNIO TIPO MAXIM-AR, BATENTE/ REQUADRO 3 A 14 CM, VIDRO INCLUSO, FIXAÇÃO COM PARAFUSO, SEM GUARNIÇÃO/ ALIZAR, DIMENSÕES 60X80 (A X L) CM, SEM ACABAMENTO, VEDAÇÃO COM SILICONE, EXCLUSIVE CONTRAMARCO - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",Esquadrias - Janelas,,m²,"1,0000000","569,93","569,93"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7760200","29,21","22,66"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3880100","23,37","9,06"
Insumo, 00004377 ,SINAPI,"PARAFUSO DE ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA SIMPLES, DIAMETRO 4,2 MM, COMPRIMENTO * 32 * MM",Material,,UN,"24,4000000","0,18","4,39"
Insumo, 00034381 ,SINAPI,"JANELA MAXIM-AR, EM ALUMINIO PERFIL 25, 60 X 80 CM (A X L), ACABAMENTO BRANCO OU BRILHANTE, BATENTE DE 4 A 5 CM, COM VIDRO 4 MM, SEM GUARNICAO/ALIZAR",Material,,UN,"2,0833000","241,51","503,13"
Insumo, 00039961 ,SINAPI,SILICONE ACETICO USO GERAL INCOLOR 280 G,Material,,UN,"1,1687500","26,26","30,69"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 100674 ,SINAPI,"CAIXILHO FIXO DE ALUMÍNIO PARA VIDRO (VIDRO INCLUSO), BATENTE/ REQUADRO DE 4 A 14 CM, SEM GUARNIÇÃO/ ALIZAR, FIXAÇÃO COM PARAFUSOS, VEDAÇÃO COM SILICONE, EXCLUSIVE CONTRAMARCO - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",Esquadrias - Janelas,,m²,"1,0000000","654,66","654,66"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,5555799","29,21","16,22"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2777901","23,37","6,49"
Insumo, 00000599 ,SINAPI,"JANELA FIXA, EM ALUMINIO PERFIL 20, 60 X 80 CM (A X L), BATENTE/REQUADRO DE 3 A 14 CM, COM VIDRO 4 MM, SEM GUARNICAO/ALIZAR, ACABAMENTO ALUM BRANCO OU BRILHANTE",Material,,m²,"1,0000000","598,13","598,13"
Insumo, 00004377 ,SINAPI,"PARAFUSO DE ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA SIMPLES, DIAMETRO 4,2 MM, COMPRIMENTO * 32 * MM",Material,,UN,"17,4130000","0,18","3,13"
Insumo, 00039961 ,SINAPI,SILICONE ACETICO USO GERAL INCOLOR 280 G,Material,,UN,"1,1688000","26,26","30,69"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94589 ,SINAPI,"CONTRAMARCO DE ALUMÍNIO, FIXAÇÃO COM ARGAMASSA - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",Esquadrias - Janelas,,M,"1,0000000","17,14","17,14"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2365628","29,21","6,90"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1182813","23,37","2,76"
Composição Auxiliar, 88629 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0020000","591,67","1,18"
Insumo, 00011950 ,SINAPI,"BUCHA DE NYLON SEM ABA S6, COM PARAFUSO DE 4,20 X 40 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS",Material,,UN,"0,0000000","0,25","0,00"
Insumo, 00043657 ,SINAPI,"CONTRAMARCO DE ALUMINIO (PERFIL 25) PARA ESQUADRIAS, TIPO CONVENCIONAL / CADEIRINHA, 60 MM (CM-060), INCLUSO CONEXOES, GRAPAS E TRAVAMENTOS",Material,,M,"1,0000000","6,30","6,30"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, H0050 ,Próprio,PRENDEDOR METÁLICO PARA PORTA,ESQV - ESQUADRIAS/FERRAGENS/VIDROS,,UN,"1,0000000","37,48","37,48"
Composição Auxiliar, 88239 ,SINAPI,AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3162162","24,38","7,70"
Insumo, I1566 ,SEINFRA,PARAFUSO - 8MM COM BUCHA PLASTICA,Material,,UN,"4,0000000","0,72","2,88"
Insumo, 00011572 ,SINAPI,"TRAVA / PRENDEDOR DE PORTA, EM LATAO CROMADO, MONTADO EM PISO",Material,,UN,"1,0000000","26,90","26,90"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.7 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, H0011 ,Próprio,"PORTA EM ALUMÍNIO DE ABRIR TIPO VENEZIANA, FIXAÇÃO COM PARAFUSOS,  EXCLUSIVE GUARNIÇÃO  - FORNECIMENTO E INSTALAÇÃO. AF_12/2019",ESQV - ESQUADRIAS/FERRAGENS/VIDROS,,M²,"1,0000000","350,83","350,83"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2846907","29,21","8,31"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1421221","23,37","3,32"
Insumo, 00039025 ,SINAPI,"PORTA DE ABRIR, TIPO VENEZIANA, EM ALUMINIO, ACABAMENTO ANODIZADO NATURAL, 90 CM X 210 CM (LARGURA X ALTURA), SEM GUARNICAO/ALIZAR/VISTA",Material,,UN,"0,5473000","549,18","300,56"
Insumo, 00000142 ,SINAPI,SELANTE ELASTICO MONOCOMPONENTE A BASE DE POLIURETANO (PU) PARA JUNTAS DIVERSAS,Material,,310ML,"0,8829000","39,74","35,08"
Insumo, 00007568 ,SINAPI,"BUCHA DE NYLON SEM ABA S10, COM PARAFUSO DE 6,10 X 65 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS",Material,,UN,"4,8166000","0,74","3,56"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.8 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, H0012 ,Próprio,"PORTÃO DE METALON E BARRA CHATA DE FERRO C/FECHADURA E DOBRADIÇA,
INCLUSIVE PINTURA ESMALTE SINTÉTICO",SEDI - SERVIÇOS DIVERSOS,,M²,"1,0000000","392,09","392,09"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2718350","29,21","7,94"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1941680","23,37","4,53"
Composição Auxiliar, 88278 ,SINAPI,MONTADOR DE ESTRUTURA METÁLICA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7766718","25,38","19,71"
Insumo, 00000367 ,SINAPI,"AREIA GROSSA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0010000","105,35","0,10"
Insumo, 00001379 ,SINAPI,CIMENTO PORTLAND COMPOSTO CP II-32,Material,,KG,"0,1500000","0,58","0,08"
Insumo, I6727 ,SEINFRA,"PORTÃO EM METALON E BARRA CHATA DE FERRO C/FECHADURA E DOBRADIÇAS, INCLUS. PINTURA ESMALTE SINTÉTICO (=1M2)",Material,,UN,"1,0000000","359,73","359,73"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.9 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, H0054 ,Próprio,FERROLHO PARA PORTAS DAS CABINES DOS BANHEIROS,ESQV - ESQUADRIAS/FERRAGENS/VIDROS,,UN,"1,0000000","31,13","31,13"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3646619","23,37","8,52"
Composição Auxiliar, 88261 ,SINAPI,CARPINTEIRO DE ESQUADRIA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7293238","27,87","20,32"
Insumo, 00003119 ,SINAPI,"FERROLHO COM FECHO / TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 2"" E ESPESSURA MINIMA DA CHAPA DE 0,90 MM, PARA PORTAS E JANELAS",Material,,UN,"1,0000000","2,29","2,29"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.10 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 100703 ,SINAPI,PUXADOR CENTRAL PARA ESQUADRIA DE MADEIRA. AF_12/2019,Esquadrias - Portas,,UN,"1,0000000","27,95","27,95"
Composição Auxiliar, 88261 ,SINAPI,CARPINTEIRO DE ESQUADRIA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2637093","27,87","7,34"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1318547","23,37","3,08"
Insumo, 00005080 ,SINAPI,"PUXADOR TIPO ALCA, EM ZAMAC CROMADO, COM ROSETAS, COMPRIMENTO DE APROX *100* MM, PARA PORTAS E JANELAS DE MADEIRA, INCLUINDO PARAFUSOS",Material,,UN,"1,0000000","17,53","17,53"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.11 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, H0026 ,Próprio,"ESCADA MARINHEIRO EM BARRA CHATA DE FERRO 2"" X 5/16""",ESQV - ESQUADRIAS/FERRAGENS/VIDROS,,H,"1,0000000","323,90","323,90"
Composição Auxiliar, 88315 ,SINAPI,SERRALHEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"2,3893242","29,01","69,31"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3982207","29,21","11,63"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,1946621","23,37","27,91"
Composição Auxiliar, 88317 ,SINAPI,SOLDADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"2,3893242","29,95","71,56"
Insumo, 262 ,ORSE,"Barra quadrada de ferro 3/4"" (2,85 kg/m)",Material,,m,"2,2000000","23,76","52,27"
Insumo, 00000560 ,SINAPI,"BARRA DE ACO CHATO, RETANGULAR, 50,8 MM X 7,94 MM (L X E), 3,162 KG/M",Material,,M,"3,0000000","23,97","71,91"
Insumo, 00010997 ,SINAPI,"ELETRODO REVESTIDO AWS - E7018, DIAMETRO IGUAL A 4,00 MM",Material,,KG,"0,5000000","38,62","19,31"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.12 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, H0027 ,Próprio,"GUARDA-CORPO PARA ESCADA MARINHEIRO, COM 05 (CINCO) BARRAS  CHATAS VERTICAIS 1 1/4"" X 3/16"" E ARCO A CADA 30CM DE 1 1/4"" X 3/16"",  FIXADA COM PARABOLT - FORNECIMENTO E INSTALAÇÃO",ESQV - ESQUADRIAS/FERRAGENS/VIDROS,,M,"1,0000000","88,78","88,78"
Insumo, 12437 ,ORSE,"Guarda-corpo para escada marinheiro, com 05 (cinco) barras chatas verticais 11/4"" x 3/16"" e arco a cada 30cm de 1 1/4"" x 3/16"", fixada com parabolt, instalado",Material,,m,"1,0000000","88,78","88,78"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.13 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 100327 ,SINAPI,"RUFO EXTERNO/INTERNO EM CHAPA DE AÇO GALVANIZADO NÚMERO 26, CORTE DE 33 CM, INCLUSO IÇAMENTO. AF_07/2019",Telhamento para Cobertura,,M,"1,0000000","50,93","50,93"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1841373","23,37","4,30"
Composição Auxiliar, 88323 ,SINAPI,TELHADISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1117150","28,53","3,18"
Composição Auxiliar, 93281 ,SINAPI,"GUINCHO ELÉTRICO DE COLUNA, CAPACIDADE 400 KG, COM MOTO FREIO, MOTOR TRIFÁSICO DE 1,25 CV - CHP DIURNO. AF_03/2016",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0132000","28,31","0,37"
Composição Auxiliar, 93282 ,SINAPI,"GUINCHO ELÉTRICO DE COLUNA, CAPACIDADE 400 KG, COM MOTO FREIO, MOTOR TRIFÁSICO DE 1,25 CV - CHI DIURNO. AF_03/2016",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0183000","27,52","0,50"
Insumo, 00000142 ,SINAPI,SELANTE ELASTICO MONOCOMPONENTE A BASE DE POLIURETANO (PU) PARA JUNTAS DIVERSAS,Material,,310ML,"0,2110000","39,74","8,38"
Insumo, 00001113 ,SINAPI,"RUFO EXTERNO/INTERNO DE CHAPA DE ACO GALVANIZADA NUM 26, CORTE 33 CM",Material,,M,"1,0500000","21,86","22,95"
Insumo, 00005061 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 18 X 27 (2 1/2 X 10),Material,,KG,"0,0080000","10,74","0,08"
Insumo, 00005104 ,SINAPI,"REBITE DE REPUXO EM ALUMINIO VAZADO, DIAMETRO 3,2 X 8 MM DE COMPRIMENTO (1KG = 1025 UNIDADES)",Material,,KG,"0,0016000","59,40","0,09"
Insumo, 00013388 ,SINAPI,SOLDA EM BARRA DE ESTANHO-CHUMBO 50/50,Material,,KG,"0,0590000","187,96","11,08"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.14 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, H0053 ,Próprio,"BARRA DE APOIO, RETA, FIXA, EM AÇO INOX, L=40CM, D=1 1/4”, JACKWAL OU SIMILAR",ESQV - ESQUADRIAS/FERRAGENS/VIDROS,,UN,"1,0000000","90,70","90,70"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2323372","29,21","6,78"
Insumo, 2062 ,ORSE,"Barra de apoio, reta, fixa, em aço inox, l=40cm, d=1 1/4"" - Jackwal ou similar",Material,,un,"1,0000000","83,92","83,92"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 8.15 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 101965 ,SINAPI,"PEITORIL LINEAR EM GRANITO OU MÁRMORE, L = 15CM, ASSENTADO COM ARGAMASSA 1:6 COM ADITIVO. AF_11/2020",Peitoris e Chapins,,M,"1,0000000","89,49","89,49"
Composição Auxiliar, 87283 ,SINAPI,"ARGAMASSA TRAÇO 1:6 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA) COM ADIÇÃO DE PLASTIFICANTE PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,0060000","418,47","2,51"
Composição Auxiliar, 88274 ,SINAPI,MARMORISTA/GRANITEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2582840","28,62","7,39"
