,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
21.7,88649,SINAPI,RODAPÉ CERÂMICO DE 7CM DE ALTURA COM PLACAS TIPO ESMALTADA DE DIMENSÕES 45X45CM. AF_02/2023,M,"R$ 7,90","745,43","R$ 5.888,89","R$ 7.152,05",,,,,,
21.8,X0016,UFCA,ESPAÇADOR 3MM TIPO CRUZETA PARA APLICAÇÃO DE REVESTIMENTO CERÂMICO EM PISO E EM PAREDE,M2,"R$ 0,24","472,42","R$ 113,38","R$ 137,70",,,,,,
21.9,104162,SINAPI,"PISO EM GRANILITE, MARMORITE OU GRANITINA EM AMBIENTES INTERNOS, COM ESPESSURA DE 8 MM, INCLUSO MISTURA EM BETONEIRA, COLOCAÇÃO DAS JUNTAS, APLICAÇÃO DO PISO, 4 POLIMENTOS COM POLITRIZ, ESTUCAMENTO, SELADOR E CERA. AF_06/2022",M2,"R$ 75,00","1180,01","R$ 88.500,75","R$ 107.484,16",,,,,,
22.0,,,AR CONDICIONADO,,,,,,,"R$ 7.230,38","R$ 8.781,27",,,
22.1,89357,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",M,"R$ 26,42","130,67","R$ 3.452,30","R$ 4.192,81",,,,,,
22.2,89398,SINAPI,"TE, PVC, SOLDÁVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 14,75","30,00","R$ 442,50","R$ 537,41",,,,,,
22.3,89415,SINAPI,"CURVA 90 GRAUS, PVC, SOLDÁVEL, DN 32MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 12,94","18,00","R$ 232,92","R$ 282,88",,,,,,
22.4,89370,SINAPI,"CURVA 45 GRAUS, PVC, SOLDÁVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 12,20","31,00","R$ 378,20","R$ 459,32",,,,,,
22.5,91185,SINAPI,"FIXAÇÃO DE TUBOS HORIZONTAIS DE PVC ÁGUA, PVC ESGOTO, PVC ÁGUA PLUVIAL, CPVC, PPR, COBRE OU AÇO, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA FLEXÍVEL 18 MM, FIXADA DIRETAMENTE NA LAJE. AF_09/2023",M,"R$ 20,85","130,67","R$ 2.724,46","R$ 3.308,85",,,,,,
3.0,,,MOVIMENTO DE TERRA,,,,,,,"R$ 123.929,09","R$ 150.511,87",,,
3.1,101136,SINAPI,"ESCAVAÇÃO HORIZONTAL, INCLUINDO CARGA, DESCARGA E TRANSPORTE EM SOLO DE 1A CATEGORIA COM TRATOR DE ESTEIRAS (170HP/LÂMINA: 5,20M3) E CAMINHÃO BASCULANTE DE 10M3, DMT ATÉ 200M. AF_07/2020",M3,"R$ 12,26","8057,25","R$ 98.781,88","R$ 119.970,59",,,,,,
3.2,105564,SINAPI,"EXECUÇÃO E COMPACTAÇÃO DE CORPO DE ATERRO (95% DE ENERGIA DO PROCTOR NORMAL) COM SOLO PREDOMINANTEMENTE ARENOSO, EM CAMADAS COM ESPESSURA DE 20 CM - EXCLUSIVE ESCAVAÇÃO, CARGA E TRANSPORTE E SOLO. AF_09/2024",M3,"R$ 5,37","4581,94","R$ 24.605,01","R$ 29.882,78",,,,,,
3.3,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","7,35","R$ 542,20","R$ 658,50",,,,,,
4.0,,,INFRA-ESTRUTURA/FUNDAÇÕES SIMPLES,,,,,,,"R$ 384.166,49","R$ 466.570,09",,,
4.1,D0001,UFCA,"ALVENARIA DE CONTENÇÃO EM PEDRA RACHÃO OU PEDRA DE MÃO, ASSENTADA COM ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA)",M3,"R$ 369,59","96,74","R$ 35.754,13","R$ 43.423,39",,,,,,
4.10,96540,SINAPI,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM CHAPA DE MADEIRA COMPENSADA RESINADA, E=17 MM, 4 UTILIZAÇÕES. AF_01/2024",M2,"R$ 115,02","297,91","R$ 34.265,60","R$ 41.615,57",,,,,,
4.11,96542,SINAPI,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM CHAPA DE MADEIRA COMPENSADA RESINADA, E=17 MM, 4 UTILIZAÇÕES. AF_01/2024",M2,"R$ 83,93","362,48","R$ 30.422,94","R$ 36.948,66",,,,,,
4.12,96543,SINAPI,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-60 DE 5 MM - MONTAGEM. AF_01/2024,KG,"R$ 16,92","790,70","R$ 13.378,64","R$ 16.248,35",,,,,,
4.13,96544,SINAPI,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",KG,"R$ 15,24","11,60","R$ 176,78","R$ 214,69",,,,,,
4.14,96545,SINAPI,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,KG,"R$ 13,73","401,30","R$ 5.509,84","R$ 6.691,70",,,,,,
4.15,96546,SINAPI,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,KG,"R$ 11,99","1360,70","R$ 16.314,79","R$ 19.814,31",,,,,,
4.16,104920,SINAPI,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_01/2024",KG,"R$ 9,22","459,40","R$ 4.235,66","R$ 5.144,20",,,,,,
4.17,104916,SINAPI,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA 60 DE 5 MM - MONTAGEM. AF_01/2024",KG,"R$ 14,22","302,42","R$ 4.300,41","R$ 5.222,84",,,,,,
4.18,104917,SINAPI,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA 50 DE 6,3 MM - MONTAGEM. AF_01/2024",KG,"R$ 13,21","135,10","R$ 1.784,67","R$ 2.167,48",,,,,,
4.19,104918,SINAPI,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA 50 DE 8 MM - MONTAGEM. AF_01/2024",KG,"R$ 12,25","735,60","R$ 9.011,10","R$ 10.943,98",,,,,,
4.2,101165,SINAPI,"ALVENARIA DE EMBASAMENTO COM BLOCO ESTRUTURAL DE CONCRETO, DE 14X19X29CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",M3,"R$ 836,54","51,80","R$ 43.332,77","R$ 52.627,64",,,,,,
4.20,104919,SINAPI,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA 50 DE 10 MM - MONTAGEM. AF_01/2024",KG,"R$ 10,91","142,00","R$ 1.549,22","R$ 1.881,52",,,,,,
4.21,96557,SINAPI,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",M3,"R$ 552,53","107,92","R$ 59.629,03","R$ 72.419,45",,,,,,
4.22,96558,SINAPI,"CONCRETAGEM DE SAPATA, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",M3,"R$ 578,66","3,16","R$ 1.828,56","R$ 2.220,78",,,,,,
4.23,B0029,UFCA,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,UN,"R$ 83,07","55,00","R$ 4.568,85","R$ 5.548,86",,,,,,
4.24,94962,SINAPI,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",M3,"R$ 337,03","3,60","R$ 1.213,30","R$ 1.473,55",,,,,,
4.3,103685,SINAPI,"CONCRETAGEM DE MURETAS, FCK=25 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",M3,"R$ 505,59","30,14","R$ 15.238,48","R$ 18.507,13",,,,,,
4.4,102722,SINAPI,"DRENO EM MURO DE CONTENÇÃO, EXECUTADO NO PÉ DO MURO, COM TUBO DE PEAD CORRUGADO FLEXÍVEL PERFURADO, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",M,"R$ 45,47","82,00","R$ 3.728,54","R$ 4.528,31",,,,,,
4.5,100896,SINAPI,"ESTACA ESCAVADA MECANICAMENTE, SEM FLUIDO ESTABILIZANTE, COM 25CM DE DIÂMETRO, CONCRETO LANÇADO POR CAMINHÃO BETONEIRA (EXCLUSIVE MOBILIZAÇÃO E DESMOBILIZAÇÃO). AF_01/2020",M,"R$ 49,37","1480,00","R$ 73.067,60","R$ 88.740,60",,,,,,
4.6,95601,SINAPI,"ARRASAMENTO MECANICO DE ESTACA DE CONCRETO ARMADO, DIAMETROS DE ATÉ 40 CM. AF_05/2021",UN,"R$ 15,15","148,00","R$ 2.242,20","R$ 2.723,15",,,,,,
4.7,96521,SINAPI,ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,M3,"R$ 34,29","338,37","R$ 11.602,70","R$ 14.091,47",,,,,,
4.8,96525,SINAPI,ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME OU SAPATA CORRIDA COM MINI- ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,M3,"R$ 45,42","153,45","R$ 6.969,69","R$ 8.464,68",,,,,,
4.9,96619,SINAPI,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",M2,"R$ 33,21","121,68","R$ 4.040,99","R$ 4.907,78",,,,,,
5.0,,,FUNDAÇÕES ESPECIAIS,,,,,,,"R$ 3.970,00","R$ 4.821,56",,,
5.1,B0027,UFCA,MOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,"R$ 3,97","500,00","R$ 1.985,00","R$ 2.410,78",,,,,,
5.2,B0028,UFCA,DESMOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,"R$ 3,97","500,00","R$ 1.985,00","R$ 2.410,78",,,,,,
6.0,,,SUPERESTRUTURA,,,,,,,"R$ 563.948,70","R$ 684.915,60",,,
6.1,,,ESTRUTURAS DE CONCRETO ARMADO,,,,,,,,,,,
6.1.1,92443,SINAPI,"MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",M2,"R$ 43,55","638,96","R$ 27.826,70","R$ 33.795,52",,,,,,
6.1.10,92764,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 16,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 7,68","33,10","R$ 254,20","R$ 308,72",,,,,,
6.1.11,92765,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 20,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 8,78","83,10","R$ 729,61","R$ 886,11",,,,,,
6.1.12,92768,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 11,55","3565,00","R$ 41.175,75","R$ 50.007,94",,,,,,
6.1.13,92769,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",KG,"R$ 10,89","2207,80","R$ 24.042,94","R$ 29.200,15",,,,,,
6.1.14,92770,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 10,23","3682,70","R$ 37.674,02","R$ 45.755,09",,,,,,
6.1.15,92771,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 9,10","2356,20","R$ 21.441,42","R$ 26.040,60",,,,,,
6.1.16,92772,SINAPI,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",KG,"R$ 7,60","2153,00","R$ 16.362,80","R$ 19.872,62",,,,,,
6.1.17,103672,SINAPI,"CONCRETAGEM DE PILARES, FCK = 25 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",M3,"R$ 501,28","43,48","R$ 21.795,65","R$ 26.470,81",,,,,,
6.1.18,103675,SINAPI,"CONCRETAGEM DE VIGAS E LAJES, FCK=25 MPA, PARA LAJES MACIÇAS OU NERVURADAS COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",M3,"R$ 501,68","320,29","R$ 160.683,08","R$ 195.149,60",,,,,,
6.1.19,B0029,UFCA,CONTROLE TECNOLÓGICO DE CONCRETO C/ ROMPIMENTO DE CORPO DE PROVA À COMPRESSÃO,UN,"R$ 83,07","116,00","R$ 9.636,12","R$ 11.703,06",,,,,,
6.1.2,92480,SINAPI,"MONTAGEM E DESMONTAGEM DE FÔRMA DE VIGA, ESCORAMENTO METÁLICO, PÉ- DIREITO SIMPLES, EM CHAPA DE MADEIRA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",M2,"R$ 78,61","474,01","R$ 37.261,92","R$ 45.254,60",,,,,,
6.1.20,97102,SINAPI,"EXECUÇÃO DE RADIER, ESPESSURA DE 15 CM, FCK = 30 MPA, COM USO DE FORMAS EM MADEIRA SERRADA. AF_09/2021",M2,"R$ 173,72","40,00","R$ 6.948,80","R$ 8.439,31",,,,,,
6.1.3,92506,SINAPI,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE NERVURADA COM CUBETA E ASSOALHO, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 18 UTILIZAÇÕES. AF_09/2020",M2,"R$ 44,94","1420,71","R$ 63.846,70","R$ 77.541,81",,,,,,
6.1.4,92536,SINAPI,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO DUPLO, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",M2,"R$ 53,13","315,56","R$ 16.765,70","R$ 20.361,94",,,,,,
6.1.5,92759,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 11,99","1928,70","R$ 23.125,11","R$ 28.085,44",,,,,,
6.1.6,92760,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",KG,"R$ 11,33","418,80","R$ 4.745,00","R$ 5.762,80",,,,,,
6.1.7,92761,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 10,65","1191,20","R$ 12.686,28","R$ 15.407,48",,,,,,
6.1.8,92762,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",KG,"R$ 9,47","3068,90","R$ 29.062,48","R$ 35.296,38",,,,,,
6.1.9,92763,SINAPI,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",KG,"R$ 7,94","993,00","R$ 7.884,42","R$ 9.575,62",,,,,,
7.0,,,ALVENARIA/VEDAÇÃO/DIVISÓRIA,,,,,,,"R$ 160.423,18","R$ 194.833,91",,,
7.1,103328,SINAPI,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,"R$ 77,18","1523,17","R$ 117.558,26","R$ 142.774,50",,,,,,
7.2,103324,SINAPI,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,"R$ 64,21","116,37","R$ 7.472,11","R$ 9.074,87",,,,,,
7.3,101161,SINAPI,ALVENARIA DE VEDAÇÃO COM ELEMENTO VAZADO DE CONCRETO (COBOGÓ) DE 7X50X50CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020,M2,"R$ 193,71","17,68","R$ 3.424,79","R$ 4.159,40",,,,,,
7.4,93187,SINAPI,"VERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *20* CM. AF_03/2024",M,"R$ 64,17","169,18","R$ 10.856,28","R$ 13.184,95",,,,,,
7.5,105030,SINAPI,"CONTRAVERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *10* CM. AF_03/2024",M,"R$ 34,79","131,20","R$ 4.564,44","R$ 5.543,51",,,,,,
7.6,93200,SINAPI,FIXAÇÃO (ENCUNHAMENTO) DE ALVENARIA DE VEDAÇÃO COM ARGAMASSA APLICADA COM BISNAGA. AF_03/2024,M,"R$ 9,72","298,00","R$ 2.896,56","R$ 3.517,87",,,,,,
7.7,G0002,UFCA,"FIXAÇÃO (ENCUNHAMENTO) DE ALVENARIA DE VEDAÇÃO COM ARGAMASSA, COM ADITIVO IMPERMEABILIZANTE, APLICADA COM BISNAGA",M,"R$ 10,04","304,60","R$ 3.058,18","R$ 3.714,15",,,,,,
7.8,96358,SINAPI,"PAREDE COM SISTEMA EM CHAPAS DE GESSO PARA DRYWALL, USO INTERNO, COM DUAS FACES SIMPLES E ESTRUTURA METÁLICA COM GUIAS SIMPLES, SEM VÃOS. AF_07/2023_PS",M2,"R$ 82,60","127,30","R$ 10.514,98","R$ 12.770,44",,,,,,
7.9,96374,SINAPI,INSTALAÇÃO DE REFORÇO DE MADEIRA EM PAREDE DRYWALL. AF_07/2023,M,"R$ 25,86","3,00","R$ 77,58","R$ 94,22",,,,,,
8.0,,,ESQUADRIAS,,,,,,,"R$ 327.067,74","R$ 397.223,65",,,
8.1,99855,SINAPI,"CORRIMÃO SIMPLES, DIÂMETRO EXTERNO = 1 1/2"", EM AÇO GALVANIZADO. AF_04/2019_PS",M,"R$ 86,99","338,00","R$ 29.402,62","R$ 35.709,48",,,,,,
8.10,100703,SINAPI,PUXADOR CENTRAL PARA ESQUADRIA DE MADEIRA. AF_12/2019,UN,"R$ 27,95","16,00","R$ 447,20","R$ 543,12",,,,,,
8.11,H0026,UFCA,"ESCADA MARINHEIRO EM BARRA CHATA DE FERRO 2"" X 5/16""",M,"R$ 323,90","9,25","R$ 2.996,07","R$ 3.638,72",,,,,,
8.12,H0027,UFCA,"GUARDA-CORPO PARA ESCADA MARINHEIRO, COM 05 (CINCO) BARRAS CHATAS VERTICAIS 1 1/4"" X 3/16"" E ARCO A CADA 30CM DE 1 1/4"" X 3/16"", FIXADA COM PARABOLT - FORNECIMENTO E INSTALAÇÃO",M,"R$ 88,78","9,25","R$ 821,21","R$ 997,35",,,,,,
8.13,100327,SINAPI,"RUFO EXTERNO/INTERNO EM CHAPA DE AÇO GALVANIZADO NÚMERO 26, CORTE DE 33 CM, INCLUSO IÇAMENTO. AF_07/2019",M,"R$ 50,93","8,10","R$ 412,53","R$ 501,01",,,,,,
8.14,H0053,UFCA,"BARRA DE APOIO, RETA, FIXA, EM AÇO INOX, L=40CM, D=1 1/4”, JACKWAL OU SIMILAR",UN,"R$ 90,70","27,00","R$ 2.448,90","R$ 2.974,18",,,,,,
8.15,101965,SINAPI,"PEITORIL LINEAR EM GRANITO OU MÁRMORE, L = 15CM, ASSENTADO COM ARGAMASSA 1:6 COM ADITIVO. AF_11/2020",M,"R$ 89,49","105,28","R$ 9.421,50","R$ 11.442,41",,,,,,
8.16,H0060,UFCA,"PORTA DE MADEIRA MEXICANA, MACIÇA (PESADA OU SUPERPESADA),80X210MM. INCLUSO DOBRADIÇAS, BATENTE E FECHADURA 55MM. SEM ALIZAR",UN,"R$ 1.761,14","1,00","R$ 1.761,14","R$ 2.138,90",,,,,,
8.17,H0061,UFCA,"PORTA DE MADEIRA MEXICANA, MACIÇA (PESADA OU SUPERPESADA),90X210MM. INCLUSO DOBRADIÇAS, BATENTE E FECHADURA 55MM. SEM ALIZAR",UN,"R$ 1.838,07","28,00","R$ 51.465,96","R$ 62.505,40",,,,,,
8.18,94805,SINAPI,"PORTA DE ALUMÍNIO DE ABRIR PARA VIDRO SEM GUARNIÇÃO, 87X210CM, FIXAÇÃO COM PARAFUSOS, INCLUSIVE VIDROS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019",UN,"R$ 625,86","1,00","R$ 625,86","R$ 760,10",,,,,,
8.19,H0055,UFCA,ALÇAPÃO EM CHAPA DE AÇO 70X70 CM,UN,"R$ 151,33","2,00","R$ 302,66","R$ 367,58",,,,,,
8.2,94570,SINAPI,"JANELA DE ALUMÍNIO DE CORRER COM 2 FOLHAS PARA VIDROS (VIDROS INCLUSOS), BATENTE/ REQUADRO 6 A 14 CM, ACABAMENTO COM ACETATO OU BRILHANTE, FIXAÇÃO COM PARAFUSO, SEM GUARNIÇÃO/ ALIZAR, DIMENSÕES 100X120 CM, VEDAÇÃO COM SILICONE, EXCLUSIVE CONTRAMARCO - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",M2,"R$ 301,99","62,72","R$ 18.940,81","R$ 23.003,61",,,,,,
8.20,H0059,UFCA,BRISE METÁLICO 84 - SL4 (OU SIMILAR) COR PRATA COM ESTRUTURA E MONTAGEM. EXCLUSIVE ANDAIME,M2,"R$ 312,00","329,60","R$ 102.835,20","R$ 124.893,35",,,,,,
8.21,R0010,UFCA,PINGADOR METÁLICO/ALUMÍNIO ( 1 X 1) CM  P/ FACHADAS,M,"R$ 35,98","16,00","R$ 575,68","R$ 699,16",,,,,,
8.22,H0023,UFCA,"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,10M COM MONTANTES A CADA 1M, COM ESPERA CHUMBADA EM PISO DURANTE A CONCRETAGEM",M,"R$ 252,37","76,03","R$ 19.187,69","R$ 23.303,44",,,,,,
8.23,H0024,UFCA,"GRADIL DE  TELA 5 X 5 CM, COM MOLDURA EM CANTONEIRA E BARRA CHATA, SEM PINTURA",M2,"R$ 105,39","81,34","R$ 8.572,42","R$ 10.411,20",,,,,,
8.3,94569,SINAPI,"JANELA DE ALUMÍNIO TIPO MAXIM-AR, BATENTE/ REQUADRO 3 A 14 CM, VIDRO INCLUSO, FIXAÇÃO COM PARAFUSO, SEM GUARNIÇÃO/ ALIZAR, DIMENSÕES 60X80 (A X L) CM, SEM ACABAMENTO, VEDAÇÃO COM SILICONE, EXCLUSIVE CONTRAMARCO - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",M2,"R$ 569,93","74,24","R$ 42.311,60","R$ 51.387,43",,,,,,
8.4,100674,SINAPI,"CAIXILHO FIXO DE ALUMÍNIO PARA VIDRO (VIDRO INCLUSO), BATENTE/ REQUADRO DE 4  A 14 CM, SEM GUARNIÇÃO/ ALIZAR, FIXAÇÃO COM PARAFUSOS, VEDAÇÃO COM SILICONE, EXCLUSIVE CONTRAMARCO - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",M2,"R$ 654,66","23,50","R$ 15.384,51","R$ 18.684,48",,,,,,
8.5,94589,SINAPI,"CONTRAMARCO DE ALUMÍNIO, FIXAÇÃO COM ARGAMASSA - FORNECIMENTO E INSTALAÇÃO. AF_11/2024",M,"R$ 17,14","406,80","R$ 6.972,55","R$ 8.468,16",,,,,,
8.6,H0050,UFCA,PRENDEDOR METÁLICO PARA PORTA,UN,"R$ 37,48","13,00","R$ 487,24","R$ 591,75",,,,,,
8.7,H0011,UFCA,"PORTA EM ALUMÍNIO DE ABRIR TIPO VENEZIANA, FIXAÇÃO COM PARAFUSOS, EXCLUSIVE GUARNIÇÃO  - FORNECIMENTO E INSTALAÇÃO. AF_12/2019",M2,"R$ 350,83","23,23","R$ 8.149,78","R$ 9.897,90",,,,,,
8.8,H0012,UFCA,"PORTÃO DE METALON E BARRA CHATA DE FERRO C/FECHADURA E DOBRADIÇA, INCLUSIVE PINTURA ESMALTE SINTÉTICO",M2,"R$ 392,09","7,77","R$ 3.046,53","R$ 3.700,01",,,,,,
8.9,H0054,UFCA,FERROLHO PARA PORTAS DAS CABINES DOS BANHEIROS,UN,"R$ 31,13","16,00","R$ 498,08","R$ 604,91",,,,,,
9.0,,,COBERTURA,,,,,,,"R$ 73.378,69","R$ 89.118,39",,,
9.1,94213,SINAPI,"TELHAMENTO COM TELHA DE AÇO/ALUMÍNIO E = 0,5 MM, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO. AF_07/2019",M2,"R$ 57,13","705,75","R$ 40.319,49","R$ 48.968,02",,,,,,
9.2,i0002,UFCA,"CUMEEIRA NORMAL PARA TELHA TRAPEZOIDAL DE AÇO, E = 0,5 MM, INCLUSO ACESSÓRIOS DE FIXAÇÃO E IÇAMENTO",M,"R$ 86,67","47,70","R$ 4.134,15","R$ 5.020,92",,,,,,
9.3,92543,SINAPI,"TRAMA DE MADEIRA COMPOSTA POR TERÇAS PARA TELHADOS DE ATÉ 2 ÁGUAS PARA TELHA ONDULADA DE FIBROCIMENTO, METÁLICA, PLÁSTICA OU TERMOACÚSTICA, INCLUSO TRANSPORTE VERTICAL. AF_07/2019",M2,"R$ 20,05","688,00","R$ 13.794,40","R$ 16.753,29",,,,,,
